,label,abbrev
0,Updated:,2000-10-1100:00:00
1,Property Type 'Leaf',CurveType
2,Acceleration,ACCEL
3,X_Acceleration,ACCELX
4,Y_Acceleration,ACCELY
5,Z_Acceleration,ACCELZ
6,Gravity,GRAV
7,Z_Gravity,GRAVZ
8, Acoustic_Amplitude,ACAMP
9,CBL_Amplitude,ACCBLAMP
10,Amplitude_Distribution,AMPDIST
11,NMR_Amplitude_Distribution,NMRAMPDIST
12,Echo_Amplitude,ECHOAMP
13,NMR_Echo_Amplitude,NMRECHOAMP
14,Tool_Rotation_Speed,TOOLROTA
15, Acoustic_Attenuation_Rate,ACATT
16,Electromagnetic_Attenuation_Rate,ELMATT
17,Cation_Exchange_Capacity,CEC
18,Slowness_Time_Coherence,ACSTC
19,Salinity,SAL
20,Borehole_Salinity,BHSAL
21,Cobalt_Concentration,ELECO
22,Potassium_Concentration,ELEK
23,Thorium_Concentration,ELETH
24,Uranium_Concentration,ELEU
25,Conductivity,CON
26,Array_Conductivity,CONARR
27,Induction_Array_Conductivity,CONARRIND
28,Laterolog_Array_Conductivity,CONARRLAT
29,Profile_Conductivity,CONPROF
30,Shallow_Conductivity,CONSHA
31,Shallow_Laterolog_Conductivity,CONSHALAT
32,Shallow_Spherically_Focused_Conductivity,CONSHASPH
33,Water_Conductivity,WATCON
34,Deep_Conductivity,CONDEP
35,Deep_Induction_Conductivity,CONDEPIND
36,Deep_Laterolog_Conductivity,CONDEPLAT
37,Fluid_Conductivity,FLUCON
38,Flushed_Zone_Conductivity,CONFZO
39,Formation_Conductivity,CONFM
40,Fracture_Conductivity,FRACCON
41,Medium_Conductivity,CONMED
42,Medium_Induction_Conductivity,CONMEDIND
43,Medium_Laterolog_Conductivity,CONMEDLAT
44,Micro_Conductivity,CONMIC
45,Micro_Laterolog_Conductivity,CONMICLAT
46,Micro_Spherically_Focused_Conductivity,CONMICSPH
47,Bulk_Density_Correction,DENCRN
48,Porosity_Correction,PORCRN
49,Bulk_Density,DEN
50,Filter_Cake_Density,MUDCDEN
51,Fluid_Density,FLUDEN
52,Gas_Density,GASDEN
53,Grain_Density,GRNDEN
54,Hydrocarbon_Density,HYDDEN
55,MWD_Data_Density,DTD
56,Resistivity_Data_Density,RESDTD
57,Sonic_Data_Density,ACDTD
58,Temperature_Data_Density,TEMPDTD
59,Density_Data_Density,DENDTD
60,Gamma_Ray_Data_Density,GRDTD
61,Neutron_Data_Density,NEUDTD
62,Nuclear_Magnetic_Data_Density,NMRDTD
63,Matrix_Density,MATDEN
64,Mud_Density,MUDDEN
65,Oil_Density,OILDEN
66,Water_Density,WATDEN
67,NMR_Echo,NMRECHO
68,NMR_Inter_Echo_Time,NMRECHOTIME
69,NMR_Echo_Train,NMRECHOTRN
70,NMR_Echo_Train_Number,NMRECHOTRNNUM
71,NMR_Inter_Echo_Train_Time,NMRECHOTRNTIME
72,Spontaneous_Potential,SP
73,Acoustic_Energy,ACENER
74,Archie_Porosity_Constant,EXPARCA
75,Archie_Porosity_Exponent,EXPARCM
76,Saturation_Exponent,EXPNSATN
77,Tension,TENS
78,Downhole_Cable_Tension,TENSHEAD
79,Surface_Cable_Tension,TENSSRF
80,Weight_On_Bit,WOB
81,NMR_Free_Fluid_Index,NMRFFI
82,Frequency,FREQ
83,Count_Rate,CTS
84,Density_Count_Rate,DENCTS
85,Gamma_Count_Rate,GRCTS
86,Neutron_Count_Rate,NEUCTS
87,Shock_Rate,TOOLSHCKRATE
88,Gain,GAIN
89,Gamma_Ray,GR
90,Gamma_Ray_Minus_Uranium,GRKTH
91,Curvature,CURV
92, Gradient,GRAD
93,Thermal_Gradient,TEMPGRAD
94,Hydrogen_Index,HI
95,Cement_Bond_Index,ACCBLBI
96,Quality_Indicator,QUAL
97,Array_Induction_Quality_Indicator,ARRINDQUAL
98,CBL_Quality_Indicator,ACCBLQUAL
99,Density_Quality_Indicator,DENQUAL
100,Filter_Cake_Thickness_Quality_Indicator,MUDCTHKQUAL
101,Gamma_Ray_Quality_Indicator,GRQUAL
102,Neutron_Quality_Indicator,NEUQUAL
103,NMR_Quality_Indicator,NMRQUAL
104,Photoelectric_Factor_Quality_Indicator,PEFQUAL
105,Neutron_Capture_Cross_Section_Quality_Indicator,NEUCAPQUAL
106,Dip_Quality,DIPQUAL
107,Flag,FLAG
108,Bad_Hole_Flag,BADHFLAG
109,Data_Presence_Flag,DATAFLAG
110,Acoustic_Slowness,ACSLO
111,Compressional_Slowness,ACSLOCMP
112,Fluid_Compressional_Slowness,FLUACSLOCMP
113,Matrix_Compressional_Slowness,MATACSLOCMP
114,Mud_Compressional_Slowness,MUDACSLOCMP
115,Shear_Slowness,ACSLOSHR
116,Matrix_Shear_Slowness,MATACSLOSHR
117,Stoneley_Slowness,ACSLOSTN
118,Electromagnetic_Propagation_Time,ELMTIME
119,Matrix_Electromagnetic_Propagation_Time,MATELMTIME
120,X_Coordinate,COORDX
121,East_Departure,DEPAEAST
122,Y_Coordinate,COORDY
123,North_Departure,DEPANORT
124,Z_Coordinate,COORDZ
125,Depth,DEPTH
126,Curvature_Radius,CURVRAD
127,Standoff,SOFF
128,Sensor_Standoff,SENSSOFF
129,True_Stratigraphic_Thickness,TST
130,True_Vertical_Thickness,TVT
131,Filter_Cake_Thickness,MUDCTHK
132,Depth,DEPTH
133,Bit_Depth,DEPTHBIT
134,Bottom_Depth,DEPTHBOT
135,Casing_Shoe_Depth,CSGDEPTH
136,Start_Depth,DEPTHSTART
137,Stop_Depth,DEPTHSTOP
138,Test_Depth,TESTDEPTH
139,Top_Depth,DEPTHTOP
140,True_Vertical_Depth,DEPTHTVD
141,Subsea_Vertical_Depth,DEPTHTVDSS
142, Water_Depth,DEPTHWAT
143,Measured_Depth,DEPTHMD
144,Vertical_Depth_Offset,DEPTHOFF
145,Caliper,CAL
146,Acoustic_Caliper,CALAC
147,Electromagnetic_Caliper,CALELM
148,Differential_Caliper,CALDIF
149,Invasion_Diameter,DI
150,Tool_Eccentering,TOOLECC
151,Threshold,THOLD
152,Neutron_Capture_Cross_Section,NEUCAP
153,Borehole_Neutron_Capture_Cross_Section,BHNEUCAP
154,Matrix_Neutron_Capture_Cross_Section,MATNEUCAP
155,Sample_Number,SAMPNUM
156,Permeability,PERM
157,Relative_Permeability,RELPERM
158,Relative_Permeability_Gas,RELPERMGAS
159,Relative_Permeability_Oil,RELPERMOIL
160,Relative_Permeability_Water,RELPERMWAT
161,Horizontal_Permeability,PERMHOR
162,Vertical_Permeability,PERMVERT
163,NMR_Permeability,NMRPERM
164,Dielectric_Constant,ELMDIEL
165,Photoelectric_Factor,PEF
166,Filter_Cake_Photoelectric_Factor,MUDCPEF
167,Azimuth,AZIM
168,Sensor_Azimuth,SENSAZIM
169,Tool_Azimuth,TOOLAZIM
170,Dip_Azimuth,DIPAZIM
171,Hole_Azimuth,BHAZIM
172,Phase_Shift,PHSS
173,Electromagnetic_Phase_Shift,ELMPHSS
174,Relative_Bearing,RB
175,Toolface,TOOLFC
176,Deviation,DEVI
177,Tool_Deviation,TOOLDEVI
178,Hole_Deviation,BHDEVI
179,Power,PWR
180,Electromagnetic_Power,ELMPWR
181,Pressure,PRES
182,Capillary Pressure,CAPIPRES
183,Gas_Probability,GASPROB
184,Ratio,RAT
185,Carbon_Oxygen_Ratio,ELERATCO
186,Compressional_Shear_Velocity_Ratio,ACVELRATCMPSHR
187,Poisson_Ratio,ACPR
188,NMR_T1_T2_Ratio,NMRT1T2RAT
189,Shear_Compressional_Slowness_Ratio,ACSLORATSHRCMP
190,Shear_Compressional_Velocity_Ratio,ACVELRATSHRCMP
191,Thermal_Neutron_Near_Far_Ratio,NEURATTMLNEARFAR
192,Thorium_Potassium_Ratio,ELERATTHK
193,Thorium_Uranium_Ratio,ELERATTHU
194,Uranium_Potassium_Ratio,ELERATUK
195,Vert_Hor_Permeability_Ratio,PERMRATVERTHOR
196,Volume_Fraction,VF
197,Albite_Volume_Fraction,VFMINALB
198,Anhydrite_Volume_Fraction,VFMINANHY
199,Ash_Volume_Fraction,VFMINASH
200,Biotite_Volume_Fraction,VFMINBIOT
201,Calcite_Volume_Fraction,VFMINCALC
202,Carbon_Volume_Fraction,VFELEC
203,Carbonate_Volume_Fraction,VFMINCARB
204,Chlorite_Volume_Fraction,VFMINCHLR
205,Clay_Volume_Fraction,VFMINCLAY
206,Coal_Volume_Fraction,VFMINCOAL
207,Porosity,POR
208,Apparent_Porosity,PORAPP
209,Bin_Porosity,PORBIN
210,Sonic_Porosity,ACPORAPP
211,Sonic_Porosity_Dolomite,ACPORAPPDOL
212,Sonic_Porosity_Limestone,ACPORAPPLIM
213,Sonic_Porosity_Sandstone,ACPORAPPSND
214,Standoff_Porosity,PORSOFF
215,Density_Porosity,DENPORAPP
216,Density_Porosity_Dolomite,DENPORAPPDOL
217,Density_Porosity_Limestone,DENPORAPPLIM
218,Density_Porosity_Sandstone,DENPORAPPSND
219,Neutron_Porosity,NEUPORAPP
220,API_Neutron,NEUAPI
221,Thermal_Neutron_Porosity,NEUPORAPPTML
222,Epithermal_Neutron_Porosity,NEUPORAPPEPI
223,Neutron_Porosity_Dolomite,NEUPORAPPDOL
224,Neutron_Porosity_Limestone,NEUPORAPPLIM
225,Neutron_Porosity_Sandstone,NEUPORAPPSND
226,NMR_Porosity,NMRPORAPP
227,Total_Porosity,PORTOT
228,Primary_Porosity,PORPRI
229,Secondary_Porosity,PORSEC
230,Effective_Porosity,POREFF
231,Potash_Volume_Fraction,VFMINPOTA
232,Pyrite_Volume_Fraction,VFMINPYR
233,Quartz_Volume_Fraction,VFMINQRTZ
234,Sand_Volume_Fraction,VFMINSND
235,Shale_Volume_Fraction,VFSH
236,Siderite_Volume_Fraction,VFMINSID
237,Silt_Volume_Fraction,VFMINSILT
238,Smectite_Volume_Fraction,VFMINSMEC
239,Tar_Volume_Fraction,VFMINTAR
240,Trona_Volume_Fraction,VFMINTRON
241,Water_Volume_Fraction,VFWAT
242,Bound_Water_Volume_Fraction,VFWATBND
243,Undisturbed_Zone_Bound_Water_Volume_Fraction,VFWATFMBND
244,Undisturbed_Zone_Free_Water_Volume_Fraction,VFWATFMFFI
245,Undisturbed_Zone_Irreducible_Water_Volume_Fraction,VFWATFMIRR
246,Undisturbed_Zone_Water_Volume_Fraction,VFWATFM
247,Flushed_Zone_Bound_Water_Volume_Fraction,VFWATFZOBND
248,Flushed_Zone_Free_Water_Volume_Fraction,VFWATFZOFFI
249,Flushed_Zone_Irreducible_Water_Volume_Fraction,VFWATFZOIRR
250,Flushed_Zone_Water_Volume_Fraction,VFWATFZO
251,Irreducible_Water_Volume_Fraction,VFWATIRR
252,Dolomite_Volume_Fraction,VFMINDOL
253,Dry_Clay_Volume_Fraction,VFMINCLAYDRY
254,Evaporite_Volume_Fraction,VFMINEVAP
255,Feldspar_Volume_Fraction,VFMINFELD
256,Formation_Volume_Factor,FVF
257,Water_Formation_Volume_Factor,FVFWAT
258,Gas_Formation_Volume_Factor,FVFGAS
259,Oil_Formation_Volume_Factor,FVFOIL
260,Gas_Oil_Ratio,GASOILRAT
261,Gas_Volume_Fraction,VFGAS
262,Flushed_Zone_Gas_Volume_Fraction,VFGASFZO
263,Undisturbed_Zone_Gas_Volume_Fraction,VFGASFM
264,Glauconite_Volume_Fraction,VFMINGLAU
265,Gypsum_Volume_Fraction,VFMINGYP
266,Halite_Volume_Fraction,VFMINHAL
267,Hydrocarbon_Volume_Fraction,VFHYD
268,Residual_Hydrocarbon_Volume_Fraction,VFHYDRSD
269,Undisturbed_Zone_Hydrocarbon_Volume_Fraction,VFHYDFM
270,Flushed_Zone_Hydrocarbon_Volume_Fraction,VFHYDFZO
271,Moved_Hydrocarbon_Volume_Fraction,VFHYDMOV
272,Illite_Volume_Fraction,VFMINILL
273,Isolated_Porosity_Volume_Fraction,PORISOL
274,Kaolinite_Volume_Fraction,VFMINKAOL
275,Montmorillonite_Volume_Fraction,VFMINMONT
276,Muscovite_Volume_Fraction,VFMINMUSC
277,Oil_Volume_Fraction,VFOIL
278,Flushed_Zone_Oil_Volume_Fraction,VFOILFZO
279,Undisturbed_Zone_Oil_Volume_Fraction,VFOILFM
280,Orthoclase_Volume_Fraction,VFMINORTH
281,Water_Oil_Ratio,WATOILRAT
282,Neutron_Count_Rate_Ratio,NEURAT
283,Formation_Resistivity_Factor,FRF
284,Array_Resistivity,RESARR
285,Array_Induction_Resistivity,RESARRIND
286,Array_Laterolog_Resistivity,RESARRLAT
287,Profile_Resistivity,RESPROF
288,Shallow_Resistivity,RESSHA
289,Shallow_Induction_Resistivity,RESSHAIND
290,Shallow_Laterolog_Resistivity,RESSHALAT
291,Shallow_Normal_Resistivity,RESSHANOR
292,Spherically_Focused_Resistivity,RESSHASPH
293, Water_Resistivity,WATRES
294, Apparent_Water_Resistivity,WATRESAPP
295,Deep_Resistivity,RESDEP
296,Deep_Induction_Resistivity,RESDEPIND
297,Deep_Lateral_Resistivity,RESDEPNOR
298,Deep_Laterolog_Resistivity,RESDEPLAT
299,Dielectric_Resistivity,RESDIEL
300,ElectroMagnetic_Propogation_Resistivity,RESELM
301,Attenuation_Resistivity,RESELMATT
302,Micro_Electromagnetic_Propogation_Resistivity,RESMICELM
303,Phase_Shift_Resistivity,RESELMPHSS
304,Filter_Cake_Resistivity,MUDCRES
305,Fluid_Resistivity,FLURES
306,Flushed_Zone_Resistivity,RESFZO
307,Formation_Resistivity,RESFM
308,Formation_Resistivity_Sw100,RESFMSW100
309,Medium_Resistivity,RESMED
310,Medium_Induction_Resistivity,RESMEDIND
311,Medium_Lateral_Resistivity,RESMEDNOR
312,Medium_Laterolog_Resistivity,RESMEDLAT
313,Micro_Resistivity,RESMIC
314,Micro_Cylindrically_Focused_Resistivity,RESMICCYL
315,Micro_Inverse_Resistivity,RESMICINV
316,Micro_Lateral_Resistivity,RESMICNOR
317,Micro_Laterolog_Resistivity,RESMICLAT
318,Micro_Normal_Resistivity,RESMICNOR
319,Micro_Spherically_Focused_Resistivity,RESMICSPH
320,Mud_Filtrate_Resistivity,MUDFRES
321,Apparent_Mud_Filtrate_Resistivity,MUDFRESAPP
322,Mud_Resistivity,MUDRES
323,Bound_Water_Saturation,SATWATBND
324,Flushed_Zone_Bound_Water_Saturation,SATWATFZOBND
325,Residual_Gas_Saturation,SATGASRSD
326,Residual_Hydrocarbon_Saturation,SATHYDRSD
327,Residual_Oil_Saturation,SATOILRSD
328,Water_Saturation,SATWAT
329,Flushed_Zone_Water_Saturation,SATWATFZO
330,Gas_Saturation,SATGAS
331,Hydrocarbon_Saturation,SATHYD
332,Irreducible_Water_Saturation,SATWATIRR
333,Oil_Saturation,SATOIL
334,Temperature,TEMP
335,Borehole_Temperature,BHTEMP
336,Tool_Temperature,TOOLTEMP
337,Fluid_Temperature,FLUTEMP
338,Mud_Temperature,MUDTEMP
339,Formation_Temperature,FMTEMP
340,Time,TIME
341,Thermal_Neutron_Decay_Time,NEUCAPDTIM
342,Acoustic_Travel_Time,ACTIME
343,Integrated_Slowness,ACITT
344,Relaxation_Time,NMRDTIM
345,Relaxation_Time_Ratio,NMRDTIMRAT
346,Time_After_Bit,TIMEBIT
347,Resistivity_Time_After_Bit,RESTIMEBIT
348,Sonic_Time_After_Bit,ACTIMEBIT
349,Toolface_Time_After_Bit,TOOLFCTIMEBIT
350,Density_Time_After_Bit,DENTIMEBIT
351,Gamma_Ray_Time_After_Bit,GRTIMEBIT
352,Neutron_Time_After_Bit,NEUTIMEBIT
353,Acoustic_Velocity,ACVEL
354,Compressional_Velocity,ACVELCMP
355,Fluid_Compressional_Velocity,FLUACVELCMP
356,Shear_Velocity,ACVELSHR
357,Stoneley_Velocity,ACVELSTN
358,Cable_Speed,CABVEL
359,Tool_Speed,TOOLVEL
360,Borehole_Volume,BHVOL
361,Cumulative_Borehole_Volume,BHVOLCUM
362,Cement_Volume,CEMVOL
363,Cumulative_Cement_Volume,CEMVOLCUM
364,Fluid_Volume,FLUVOL
365,Volumetric_Photoelectric_Factor,UPEF
366,Acoustic_Waveform,ACWAV
367,Acoustic_Waveform_Amplitude,ACWAVAMP
368,Acoustic_Waveform_Gain,ACWAVGAIN
369,Acoustic_Waveform_Start_Time,ACWAVSTARTTIME
